ParName   Value   Gradient
selparm[7]      28.0301  0.000237094
selparm[8]       1.8503  0.000186843
selparm[9]       8.3732 -5.26878e-06
selparm[11]     -11.8861 -0.000106838
selparm[12]     -1.45306   0.00078576
selparm[16]      48.4299   -0.0100703
selparm[18]      5.29851    0.0188184
selparm[22]      30.6729    0.0031364
selparm[23]      1.31436  0.000892188
selparm[24]      9.37198 -4.11315e-06
selparm[26]     -12.7368  -0.00179661
selparm[27]     -1.89766   0.00643829
selparm[31]      38.4882  -0.00428796
selparm[33]      4.41185   0.00415654
selparm[37]      28.8815   0.00286268
selparm[38]      1.35726  0.000558371
selparm[39]      3.97227 -0.000968952
selparm[41]     -12.7221 -0.000408118
selparm[42]     -1.86133   0.00147205
selparm[46]      40.6429   -0.0100717
selparm[48]      4.89772    0.0116978
selparm[52]      28.8753   0.00447434
selparm[53]      1.07128  0.000485193
selparm[54]       9.5208 -2.31558e-06
selparm[56]      -12.548  -0.00108068
selparm[57]     -1.89491   0.00386508
selparm[61]      35.3503  0.000117199
selparm[63]      4.21179  3.54452e-05
selparm[67]     -3.88585  0.000301215
selparm[68]    -0.561008  9.69458e-05
selparm[72]      36.5056  1.66698e-05
selparm[74]      4.64265  6.34732e-05
selparm[78]     -2.23813 -2.37663e-05
selparm[79]   -0.0352576   4.4648e-05
selparm[83]      43.0085 -7.83917e-06
selparm[85]      5.14971  0.000249877
selparm[89]      -5.0654  0.000124069
selparm[90]    -0.410501  0.000245842
selparm[94]      2.05549 -4.48453e-06
selparm[95]     -1.98219 -0.000405288
selparm[96]    -0.790166 -0.000120731
selparm[97]     0.383774 -0.000109386
selparm[98]     0.878534 -9.64655e-05
selparm[99]     -2.26483 -1.02192e-05
selparm[100]      1.76566  4.98865e-05
selparm[101]     -3.23884 -0.000135173
selparm[102]      0.12285 -2.29669e-05
selparm[103]     0.393503  6.57426e-06
selparm[104]    -0.697801 -2.41137e-05
selparm[105]      6.63678  1.70987e-05
selparm[106]      2.11235  -4.4963e-05
selparm[107]       9.9881 -1.05371e-06
selparm[108]       1.9558  -0.00180136
selparm[109]    -0.399466 -0.000365529
selparm[110]     -2.38392 -0.000392265
selparm[111]   -0.0936437  9.85389e-06
selparm[112]      3.26642  0.000186909
selparm[113]    -0.419922  3.44147e-05
selparm[114]      1.29282  0.000232287
selparm[115]     -1.92562    0.0001504
selparm[116]     0.161789 -1.99995e-05
selparm[117]     0.138985  9.01454e-05
selparm[118]      0.21153 -9.83951e-05
selparm[119]      5.45846  1.23148e-05
selparm[120]      7.55883 -1.95974e-06
selparm[121]      6.15877  0.000259499
selparm[122]     -15.0996 -0.000553999
selparm[123]      5.08526 -0.000538786
selparm[124]      9.18368 -0.000158342
selparm[125]      6.98535  3.59358e-05
selparm[126]      8.30205  0.000326583
selparm[127]      -2.0172   6.4504e-05
selparm[128]      1.52688  6.32645e-05
selparm[129]     -4.29967  0.000317757
selparm[130]     0.366784  -1.9174e-05
selparm[131]      0.13891  4.41688e-05
selparm[132]   -0.0497998  0.000133233
selparm[133]      7.80958  3.72838e-06
selparm[134]      5.53053 -4.72419e-06
selparm[135]      7.87413  7.02239e-05
selparm[136]     -5.16048  -0.00175968
selparm[137]     -6.38506 -0.000535758
selparm[138]      3.57295  -5.9277e-05
selparm[139]       6.2503 -9.96327e-05
selparm[140]      6.03167  7.06722e-05
selparm[141]     -1.40609  4.70454e-05
selparm[142]     -1.68655  0.000292574
selparm[143]      -2.0893 -0.000249348
selparm[144]     0.604487  3.94429e-05
selparm[145]      0.47059  0.000294327
selparm[146]     0.581508   -0.0002839
selparm[147]      7.55833  9.94345e-06
selparm[148]      8.89461 -2.03125e-06
selparm[149]      7.68067  2.89187e-06
