"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1938",6131.47,5798.01,5486.57,5194.55,4919.61,4660.07,4414.6,4182.17,3961.94,3753.22,3555.4,3367.93,3190.32,3022.03,2862.6,2711.56,2568.47,2432.92,2304.52,2182.9,2067.71,1958.14,1854.88,1757.08,1664.44,1576.7,1493.58,1414.85,1340.26,1269.61,1202.67,1139.27,1079.21,1022.32,968.428,917.383,869.032,823.233,779.851,736.896,698.159,661.459,626.687,593.744,562.532,532.961,504.944,478.4,453.252,429.425,406.851,385.464,365.201,346.003,327.814,310.582,294.255,278.787,264.132,250.247,4510.2
"1939",6148.71,5809.15,5493.21,5198.14,4921.47,4660.98,4415.06,4182.47,3962.22,3753.54,3555.77,3368.35,3190.74,3022.48,2863.04,2712,2568.9,2433.34,2304.93,2183.28,2068.06,1958.93,1855.13,1757.3,1664.65,1576.88,1493.75,1415.01,1340.42,1269.76,1202.82,1139.4,1079.34,1022.44,968.537,917.482,869.122,823.314,779.925,738.825,698.13,661.431,626.661,593.719,562.508,532.938,504.923,478.38,453.233,429.407,406.834,385.448,365.186,345.989,327.801,310.569,294.243,278.775,264.121,250.236,4510.02
"1940",6197.23,5825.49,5503.76,5204.42,4924.87,4662.73,4415.9,4182.85,3962.41,3753.69,3555.95,3368.58,3191.03,3022.77,2863.37,2712.33,2569.24,2433.68,2305.26,2183.6,2068.36,1959.2,1855.82,1757.48,1664.8,1577.02,1493.88,1415.12,1340.52,1269.86,1202.92,1139.5,1079.43,1022.52,968.617,917.556,869.189,823.374,779.978,738.872,699.936,661.383,626.615,593.676,562.467,532.9,504.886,478.345,453.2,429.376,406.805,385.42,365.159,345.963,327.777,310.546,294.222,278.755,264.101,250.218,4509.69
"1941",6227.21,5871.45,5519.21,5214.4,4930.8,4665.92,4417.49,4183.51,3962.55,3753.58,3555.78,3368.43,3190.94,3022.75,2863.38,2712.39,2569.32,2433.78,2305.37,2183.72,2068.47,1959.31,1855.91,1757.98,1664.82,1577.03,1493.88,1415.12,1340.52,1269.85,1202.91,1139.5,1079.43,1022.52,968.616,917.552,869.182,823.365,779.966,738.857,699.919,663.035,626.515,593.58,562.377,532.814,504.805,478.269,453.127,429.307,406.739,385.358,365.101,345.908,327.724,310.497,294.174,278.71,264.059,250.178,4508.96
"1942",6263.2,5899.86,5562.75,5229.03,4940.24,4671.52,4420.47,4184.93,3963.04,3753.55,3555.5,3368.09,3190.63,3022.51,2863.21,2712.26,2569.25,2433.73,2305.34,2183.71,2068.48,1959.32,1855.92,1757.98,1665.21,1576.97,1493.82,1415.05,1340.45,1269.78,1202.85,1139.44,1079.37,1022.47,968.567,917.505,869.136,823.318,779.919,738.81,699.87,662.986,628.049,593.456,562.259,532.702,504.699,478.168,453.032,429.217,406.654,385.277,365.024,345.835,327.656,310.431,294.113,278.652,264.004,250.126,4508.02
"1943",6304.38,5933.96,5589.63,5270.24,4954.07,4680.42,4425.68,4187.55,3964.08,3753.62,3555.03,3367.38,3189.87,3021.82,2862.61,2711.76,2568.8,2433.36,2305.02,2183.42,2068.22,1959.09,1855.71,1757.77,1665.01,1577.15,1493.58,1414.82,1340.22,1269.56,1202.63,1139.24,1079.18,1022.3,968.402,917.348,868.986,823.175,779.78,738.676,699.741,662.86,627.927,594.837,562.073,532.526,504.532,478.01,452.882,429.075,406.52,385.15,364.903,345.721,327.547,310.329,294.016,278.56,263.916,250.043,4506.53
"1944",6344.41,5972.97,5621.01,5294.82,4992.22,4692.2,4431.17,4186.51,3957.11,3742.5,3541.74,3353.53,3176.41,3009.15,2850.83,2700.81,2558.61,2423.81,2296.07,2175.01,2060.3,1951.62,1848.66,1751.11,1658.71,1571.18,1488.28,1409.42,1335.11,1264.71,1198.04,1134.88,1075.06,1018.39,964.704,913.848,865.67,820.033,776.803,735.853,697.064,660.323,625.52,592.555,561.329,530.411,502.528,476.111,451.083,427.371,404.905,383.62,363.454,344.348,326.246,309.096,292.848,277.453,262.868,249.05,4488.63
"1945",6385.85,6010.89,5657.29,5323.89,5014.85,4727.37,4440.2,4187.4,3949.34,3727.26,3521.71,3331.42,3154.21,2987.91,2830.92,2682.28,2541.34,2407.68,2280.93,2160.78,2046.9,1938.98,1836.73,1739.85,1648.06,1561.11,1478.74,1400.73,1326.51,1256.57,1190.32,1127.57,1068.13,1011.83,958.494,907.969,860.104,814.761,771.808,731.12,692.579,656.072,621.491,588.735,557.709,528.319,499.219,472.976,448.113,424.557,402.239,381.094,361.061,342.081,324.098,307.061,290.92,275.627,261.138,247.41,4459.08
"1946",6419.64,6050.16,5690.85,5356,5040.12,4745.47,4466.08,4180.99,3926.64,3689.95,3474.39,3279.55,3101.93,2937.61,2783.56,2638.01,2499.98,2368.96,2244.59,2126.58,2014.67,1908.56,1808.01,1712.72,1622.42,1536.86,1455.8,1379,1306.26,1237.06,1171.85,1110.07,1051.56,996.129,943.624,893.887,846.77,802.132,759.847,719.79,681.845,645.902,611.856,579.606,549.058,520.123,492.714,465.575,441.101,417.914,395.945,375.131,355.412,336.729,319.027,302.257,286.368,271.314,257.052,243.539,4389.31
"1947",6480.01,6082.17,5730.09,5389.75,5072.5,4772.3,4489.64,4218.43,3941.08,3694.68,3468.01,3263.83,3080.59,2914.08,2760.12,2615.72,2479.18,2349.64,2226.6,2109.78,1998.91,1893.75,1794.05,1699.56,1610,1525.13,1444.71,1368.52,1296.34,1227.96,1162.92,1101.61,1043.54,988.536,936.43,887.073,840.318,796.025,754.063,714.312,676.656,640.986,607.197,575.191,544.874,516.157,488.955,463.189,437.677,414.669,392.871,372.219,352.652,334.114,316.551,299.91,284.145,269.208,255.056,241.649,4355.24
"1948",6563.8,6139.37,5761.35,5427.83,5105.37,4804.3,4518.01,4246.72,3985.83,3720.21,3485.51,3270.82,3078.15,2905.51,2748.68,2603.63,2467.55,2338.83,2216.68,2100.65,1990.46,1885.88,1786.69,1692.64,1603.49,1519.01,1438.94,1363.07,1291.19,1223.09,1158.58,1097.21,1039.37,984.583,932.684,883.523,836.955,792.842,751.052,711.461,673.956,638.428,604.773,572.893,542.695,514.091,486.996,461.331,437.021,412.95,391.242,370.676,351.191,332.729,315.239,298.667,282.967,268.092,253.999,240.647,4337.19
"1949",6661.54,6218.75,5815.3,5457.21,5141.21,4835.11,4547.57,4272.05,4010.21,3759.48,3506.35,3284.11,3081.69,2900.37,2737.97,2590.4,2453.86,2325.71,2204.46,2089.37,1980.04,1876.2,1777.65,1684.16,1595.52,1511.5,1431.87,1356.4,1284.89,1217.13,1152.94,1092.13,1034.29,979.765,928.12,879.199,832.858,788.96,747.377,707.984,670.664,635.309,601.818,570.093,540.042,511.576,484.612,459.071,434.878,411.962,389.271,368.808,349.421,331.053,313.65,297.162,281.541,266.741,252.719,239.434,4315.34
"1950",6760.15,6311.36,5890.06,5507.91,5168.64,4868.44,4575.39,4297.3,4029.89,3777.08,3537.48,3297.92,3088.72,2898.63,2728.43,2575.93,2437.3,2308.97,2188.48,2074.45,1966.19,1863.34,1765.65,1672.92,1584.96,1501.55,1422.49,1347.56,1276.54,1209.24,1145.48,1085.07,1027.84,973.4,922.09,873.487,827.446,783.833,742.52,703.385,666.311,631.188,597.914,566.395,536.538,508.255,481.464,456.088,432.05,409.281,387.714,366.359,347.1,328.854,311.567,295.189,279.672,264.97,251.041,237.844,4286.68
"1951",6825.36,6404.78,5976.77,5577.76,5215.7,4893.02,4603.85,4317.36,4043.93,3783.24,3540.53,3313.78,3089.11,2893.59,2716.05,2557,2414.4,2284.68,2164.53,2051.67,1944.83,1843.39,1747,1655.45,1568.53,1486.08,1407.89,1333.77,1263.52,1196.94,1133.84,1074.06,1017.42,963.762,912.716,864.607,819.034,775.865,734.971,696.235,659.54,624.777,591.843,560.644,531.09,503.094,476.574,451.454,427.659,405.119,383.77,363.547,343.523,325.465,308.356,292.147,276.789,262.239,248.454,235.393,4242.51
"1952",6813.8,6466.57,6064.78,5659.43,5281.41,4936.93,4625.67,4341.33,4058.3,3790.71,3540.07,3310.46,3098.14,2888.59,2706.39,2540.84,2392.41,2259.24,2138.02,2025.69,1920.14,1820.22,1725.32,1635.15,1549.49,1468.16,1391,1317.83,1248.46,1182.71,1120.39,1061.33,1005.37,952.358,902.137,854.357,809.326,766.668,726.26,687.982,651.722,617.373,584.833,554.006,524.802,497.137,470.931,446.107,422.592,400.318,379.22,359.236,340.306,321.562,304.658,288.643,273.47,259.094,245.475,232.571,4191.63
